0415929768: 2 kartus, eilutėse: 805 844 
0691049610: 2 kartus, eilutėse: 805 843 
1: 22 kartus, eilutėse: 224 419 464 522 773 814 832 833 835 836 837 853 878 912 924 931 932 943 951 971 989 
10: 14 kartus, eilutėse: 309 401 710 814 877 878 886 890 892 899 929 950 958 960 
100: 5 kartus, eilutėse: 580 908 926 927 928 
1000: 3 kartus, eilutėse: 451 675 702 
10000: 2 kartus, eilutėse: 168 718 
100000: 3 kartus, eilutėse: 218 445 447 
1051: 2 kartus, eilutėse: 325 330 
107: 2 kartus, eilutėse: 347 790 
11: 12 kartus, eilutėse: 609 770 852 865 871 880 894 919 945 953 961 
110: 2 kartus, eilutėse: 373 385 
111: 3 kartus, eilutėse: 578 832 835 
1144: 2 kartus, eilutėse: 513 516 
119: 2 kartus, eilutėse: 393 395 
12: 17 kartus, eilutėse: 447 730 755 770 802 832 864 865 866 904 905 922 924 939 945 952 955 
120: 2 kartus, eilutėse: 331 506 
122: 3 kartus, eilutėse: 374 386 866 
1228�58�e: 2 kartus, eilutėse: 62 105 
124: 2 kartus, eilutėse: 355 368 
126: 2 kartus, eilutėse: 307 363 
1285: 3 kartus, eilutėse: 117 141 293 
129: 2 kartus, eilutėse: 315 412 
12th: 2 kartus, eilutėse: 234 615 
13: 18 kartus, eilutėse: 218 293 726 762 795 803 824 825 831 833 834 837 863 871 907 927 934 940 
1300: 2 kartus, eilutėse: 242 460 
1303: 2 kartus, eilutėse: 602 605 
139: 3 kartus, eilutėse: 293 311 752 
14: 12 kartus, eilutėse: 218 520 805 844 880 881 889 897 904 905 960 999 
145000: 2 kartus, eilutėse: 218 447 
14th: 3 kartus, eilutėse: 147 168 485 
15: 6 kartus, eilutėse: 293 309 728 748 871 954 
150: 2 kartus, eilutėse: 445 605 
151: 2 kartus, eilutėse: 408 478 
1527: 2 kartus, eilutėse: 266 485 
158: 2 kartus, eilutėse: 333 357 
16: 8 kartus, eilutėse: 728 824 852 871 884 889 907 912 
169: 2 kartus, eilutėse: 341 409 
16th: 4 kartus, eilutėse: 249 252 485 656 
17: 22 kartus, eilutėse: 746 766 767 770 826 848 854 874 875 887 894 901 925 934 939 943 944 951 953 955 958 
17th: 4 kartus, eilutėse: 268 624 656 917 
18: 17 kartus, eilutėse: 299 313 377 451 763 767 776 786 837 856 882 883 885 900 901 902 911 
180: 2 kartus, eilutėse: 349 636 
1861: 2 kartus, eilutėse: 279 428 
1870: 5 kartus, eilutėse: 145 274 279 449 
1871: 3 kartus, eilutėse: 145 279 429 
1881: 2 kartus, eilutėse: 430 449 
18th: 4 kartus, eilutėse: 268 596 624 917 
19: 8 kartus, eilutėse: 283 806 867 871 872 897 899 954 
1900: 2 kartus, eilutėse: 451 694 
1911: 3 kartus, eilutėse: 432 702 816 
192: 4 kartus, eilutėse: 159 732 804 959 
1925: 6 kartus, eilutėse: 806 808 809 813 815 965 
1927: 2 kartus, eilutėse: 694 700 
1929: 2 kartus, eilutėse: 502 
1934: 2 kartus, eilutėse: 694 841 
1943: 5 kartus, eilutėse: 282 283 
1944: 3 kartus, eilutėse: 283 936 
1950s: 4 kartus, eilutėse: 285 449 689 724 
1955: 2 kartus, eilutėse: 724 877 
1956: 2 kartus, eilutėse: 535 877 
1960: 3 kartus, eilutėse: 147 658 698 
1960s: 2 kartus, eilutėse: 285 449 
1964: 16 kartus, eilutėse: 771 777 778 779 780 781 782 783 788 789 790 792 793 796 797 971 
1971: 2 kartus, eilutėse: 438 915 
1975: 2 kartus, eilutėse: 913 949 
198: 2 kartus, eilutėse: 366 393 
1980: 2 kartus, eilutėse: 139 726 
1984: 2 kartus, eilutėse: 769 967 
